id;lugares;marca;sub_marca;no_serie;placas
1;56600;quantifying;Functionality;Industrial SDR;Loop
2;79883;Intelligent orchestration Greece;Eritrea;Hat clear-thinking;Comoro Franc
3;4212;Tools;invoice override Credit Card Account;Metal Integrated;XML SSL
4;67186;Rustic Steel Car Fantastic Cotton Tuna Motorway;Chicken;markets;sexy salmon Director
5;84524;intranet;Balboa US Dollar;Massachusetts niches pixel;blue Rubber
6;32514;models Cheese;synergize;quantifying South Dakota;expedite recontextualize
7;82647;web services Checking Account Chips;firewall;engage;mint green SAS synergistic
8;45508;Salad;Investment Account index Avon;Senior;Administrator Supervisor array
9;1480;Maine Heard Island and McDonald Islands Steel;service-desk Central USB;redundant Dynamic Car;Right-sized
10;39732;Small Rubber Towels connecting;Outdoors India Group;haptic Cross-platform North Korean Won;Run capacitor enterprise
